Месяц.год;Расход    ;День ;День ;Число;Расход    ;День ;День ;Число;
         ;минимал.  ;1-й  ;посл.;случ.;максимал. ;1-й  ;посл.;случ.;
01.2000  ;     0.350;27   ;31   ;05   ;     0.600;01   ;     ;01   ;
02.2000  ;     0.330;12   ;29   ;18   ;     0.350;01   ;03   ;02   ;
03.2000  ;     0.260;27   ;28   ;02   ;     0.330;01   ;02   ;02   ;
04.2000  ;     0.270;01   ;     ;01   ;   135.000;28   ;     ;01   ;
05.2000  ;    16.700;31   ;     ;01   ;    80.400;01   ;     ;01   ;
06.2000  ;     2.260;30   ;     ;01   ;    16.300;01   ;     ;01   ;
07.2000  ;     2.260;13   ;14   ;02   ;    99.000;29   ;     ;01   ;
08.2000  ;    15.900;18   ;     ;01   ;   116.000;31   ;     ;01   ;
09.2000  ;    19.400;17   ;     ;01   ;   135.000;24   ;     ;01   ;
10.2000  ;    14.400;31   ;     ;01   ;    30.100;07   ;08   ;02   ;
11.2000  ;     2.540;30   ;     ;01   ;    19.100;08   ;     ;01   ;
12.2000  ;     0.930;31   ;     ;01   ;     2.440;01   ;     ;01   ;
01.2001  ;     0.630;31   ;     ;01   ;     0.920;01   ;02   ;02   ;
02.2001  ;     0.330;28   ;     ;01   ;     0.620;01   ;     ;01   ;
03.2001  ;     0.200;30   ;31   ;02   ;     0.330;01   ;     ;01   ;
04.2001  ;     0.190;03   ;04   ;02   ;   163.000;22   ;     ;01   ;
05.2001  ;    21.800;15   ;17   ;03   ;   139.000;25   ;     ;01   ;
06.2001  ;     3.580;25   ;26   ;02   ;    37.300;05   ;     ;01   ;
07.2001  ;     3.580;05   ;06   ;02   ;    53.600;18   ;     ;01   ;
08.2001  ;     2.680;24   ;     ;01   ;     8.650;11   ;     ;01   ;
09.2001  ;     2.120;20   ;21   ;02   ;     4.060;01   ;     ;01   ;
10.2001  ;     1.980;30   ;31   ;02   ;     2.400;01   ;     ;01   ;
11.2001  ;     0.250;30   ;     ;01   ;     2.170;01   ;     ;01   ;
12.2001  ;     0.210;11   ;31   ;21   ;     0.250;01   ;02   ;02   ;
01.2002  ;     0.150;27   ;31   ;05   ;     0.200;01   ;03   ;03   ;
02.2002  ;     0.130;16   ;28   ;13   ;     0.150;01   ;05   ;05   ;
03.2002  ;     0.130;01   ;24   ;24   ;     0.320;31   ;     ;01   ;
04.2002  ;     0.320;01   ;     ;01   ;   155.000;29   ;30   ;02   ;
05.2002  ;     2.820;21   ;     ;01   ;   141.000;01   ;     ;01   ;
06.2002  ;     4.540;02   ;     ;01   ;    24.200;11   ;     ;01   ;
07.2002  ;     8.650;04   ;     ;01   ;    40.400;08   ;     ;01   ;
08.2002  ;    20.600;01   ;     ;01   ;   108.000;23   ;24   ;02   ;
09.2002  ;     5.260;26   ;30   ;05   ;    58.900;01   ;     ;01   ;
10.2002  ;     5.260;03   ;     ;01   ;   131.000;15   ;     ;01   ;
11.2002  ;     1.920;30   ;     ;01   ;    16.700;01   ;     ;01   ;
12.2002  ;     0.240;31   ;     ;01   ;     1.840;01   ;     ;01   ;
01.2003  ;     0.180;23   ;31   ;09   ;     0.240;01   ;     ;01   ;
02.2003  ;     0.150;26   ;28   ;03   ;     0.180;01   ;07   ;07   ;
03.2003  ;     0.140;04   ;08   ;05   ;     3.510;30   ;     ;01   ;
04.2003  ;     2.370;04   ;     ;01   ;    47.500;20   ;     ;01   ;
05.2003  ;     6.900;26   ;31   ;03   ;    23.000;01   ;     ;01   ;
06.2003  ;     2.120;29   ;30   ;02   ;     6.900;01   ;     ;01   ;
07.2003  ;     1.500;28   ;31   ;04   ;     3.100;14   ;     ;01   ;
08.2003  ;     1.400;01   ;     ;01   ;    49.500;15   ;     ;01   ;
09.2003  ;     7.600;29   ;30   ;02   ;    50.500;10   ;     ;01   ;
10.2003  ;     7.600;01   ;     ;01   ;    53.100;31   ;     ;01   ;
11.2003  ;     3.230;30   ;     ;01   ;    53.100;01   ;     ;01   ;
12.2003  ;     1.330;31   ;     ;01   ;     3.100;01   ;     ;01   ;
01.2004  ;     0.370;31   ;     ;01   ;     1.300;01   ;     ;01   ;
02.2004  ;     0.250;29   ;     ;01   ;     0.370;01   ;04   ;04   ;
03.2004  ;     0.160;21   ;     ;01   ;     0.730;31   ;     ;01   ;
04.2004  ;     0.790;01   ;     ;01   ;   178.000;25   ;     ;01   ;
05.2004  ;    34.100;31   ;     ;01   ;   178.000;11   ;13   ;03   ;
06.2004  ;     6.900;30   ;     ;01   ;    55.200;04   ;     ;01   ;
07.2004  ;     4.060;18   ;     ;01   ;    68.100;28   ;     ;01   ;
08.2004  ;     9.000;31   ;     ;01   ;   148.000;16   ;     ;01   ;
09.2004  ;     5.500;30   ;     ;01   ;    15.500;22   ;     ;01   ;
10.2004  ;     4.780;21   ;22   ;02   ;    11.800;05   ;     ;01   ;
11.2004  ;     3.970;30   ;     ;01   ;    24.300;14   ;     ;01   ;
12.2004  ;     0.950;31   ;     ;01   ;     3.580;01   ;     ;01   ;
01.2005  ;     0.460;28   ;31   ;04   ;     0.920;01   ;     ;01   ;
02.2005  ;     0.380;28   ;     ;01   ;     0.450;01   ;05   ;05   ;
03.2005  ;     0.210;21   ;23   ;03   ;     0.370;01   ;     ;01   ;
04.2005  ;     0.230;01   ;02   ;02   ;    77.400;30   ;     ;01   ;
05.2005  ;    39.500;31   ;     ;01   ;   323.000;06   ;     ;01   ;
06.2005  ;     9.000;28   ;29   ;02   ;    39.500;01   ;     ;01   ;
07.2005  ;     5.500;16   ;19   ;02   ;    31.900;31   ;     ;01   ;
08.2005  ;     6.550;26   ;27   ;02   ;    99.000;07   ;     ;01   ;
09.2005  ;    10.400;11   ;12   ;02   ;    56.200;16   ;     ;01   ;
10.2005  ;     6.960;31   ;     ;01   ;    18.600;04   ;     ;01   ;
11.2005  ;     3.310;30   ;     ;01   ;    21.800;10   ;     ;01   ;
12.2005  ;     0.990;31   ;     ;01   ;     3.130;01   ;     ;01   ;
01.2006  ;     0.390;31   ;     ;01   ;     0.960;01   ;     ;01   ;
02.2006  ;     0.300;10   ;12   ;02   ;     0.380;01   ;     ;01   ;
03.2006  ;     0.290;12   ;31   ;20   ;     0.310;01   ;04   ;04   ;
04.2006  ;     0.290;30   ;     ;01   ;    97.000;01   ;02   ;02   ;
05.2006  ;    31.400;31   ;     ;01   ;   170.000;16   ;     ;01   ;
06.2006  ;    17.900;06   ;     ;01   ;    50.000;25   ;     ;01   ;
07.2006  ;    11.800;16   ;     ;01   ;    46.000;28   ;     ;01   ;
08.2006  ;    16.700;28   ;     ;01   ;   174.000;08   ;     ;01   ;
09.2006  ;     5.260;30   ;     ;01   ;    28.300;01   ;     ;01   ;
10.2006  ;     5.020;02   ;03   ;02   ;    14.400;20   ;     ;01   ;
11.2006  ;     2.100;30   ;     ;01   ;    15.800;10   ;     ;01   ;
12.2006  ;     0.480;31   ;     ;01   ;     1.930;01   ;     ;01   ;
01.2007  ;     0.250;30   ;31   ;02   ;     0.460;01   ;     ;01   ;
02.2007  ;     0.170;19   ;28   ;10   ;     0.240;01   ;02   ;02   ;
03.2007  ;     0.170;01   ;06   ;06   ;     0.250;31   ;     ;01   ;
04.2007  ;     0.260;01   ;     ;01   ;   101.000;28   ;     ;01   ;
05.2007  ;    35.000;18   ;     ;01   ;    72.200;01   ;     ;01   ;
06.2007  ;     5.020;21   ;30   ;04   ;    37.700;01   ;     ;01   ;
07.2007  ;     2.540;17   ;22   ;06   ;     6.200;31   ;     ;01   ;
08.2007  ;     4.060;09   ;     ;01   ;    42.700;17   ;     ;01   ;
09.2007  ;     4.540;07   ;08   ;02   ;    96.000;13   ;     ;01   ;
10.2007  ;     7.250;18   ;20   ;03   ;    12.900;24   ;     ;01   ;
11.2007  ;     1.280;30   ;     ;01   ;     9.700;01   ;     ;01   ;
12.2007  ;     0.190;31   ;     ;01   ;     1.220;01   ;     ;01   ;
01.2008  ;     0.160;28   ;31   ;04   ;     0.190;01   ;10   ;10   ;
02.2008  ;     0.120;25   ;29   ;05   ;     0.160;01   ;     ;01   ;
03.2008  ;     0.130;01   ;     ;01   ;     1.540;31   ;     ;01   ;
04.2008  ;     1.950;01   ;     ;01   ;    12.200;27   ;28   ;02   ;
05.2008  ;     7.950;03   ;     ;01   ;   110.000;11   ;     ;01   ;
06.2008  ;     2.540;29   ;     ;01   ;    25.600;01   ;     ;01   ;
07.2008  ;     2.120;30   ;31   ;02   ;     4.780;21   ;     ;01   ;
08.2008  ;     2.400;01   ;     ;01   ;    14.000;09   ;     ;01   ;
09.2008  ;     2.120;12   ;15   ;04   ;     3.340;18   ;19   ;02   ;
10.2008  ;     2.120;13   ;     ;01   ;     5.260;29   ;30   ;02   ;
11.2008  ;     1.780;30   ;     ;01   ;     4.540;01   ;02   ;02   ;
12.2008  ;     0.870;31   ;     ;01   ;     1.730;01   ;     ;01   ;
01.2009  ;     0.630;30   ;31   ;02   ;     0.870;01   ;     ;01   ;
02.2009  ;     0.510;28   ;     ;01   ;     0.620;01   ;02   ;02   ;
03.2009  ;     0.410;29   ;30   ;02   ;     0.510;01   ;     ;01   ;
04.2009  ;     0.480;01   ;     ;01   ;    43.600;28   ;     ;01   ;
05.2009  ;     6.200;31   ;     ;01   ;    40.900;16   ;     ;01   ;
06.2009  ;     5.260;02   ;03   ;02   ;   128.000;30   ;     ;01   ;
07.2009  ;    38.200;11   ;15   ;04   ;   198.000;24   ;26   ;03   ;
08.2009  ;     6.550;18   ;     ;01   ;   202.000;27   ;28   ;02   ;
09.2009  ;    12.200;11   ;30   ;02   ;    86.700;01   ;     ;01   ;
10.2009  ;     6.030;31   ;     ;01   ;    20.200;07   ;     ;01   ;
11.2009  ;     1.700;30   ;     ;01   ;     4.350;01   ;     ;01   ;
12.2009  ;     0.940;28   ;31   ;04   ;     1.650;01   ;     ;01   ;
01.2010  ;     0.840;31   ;     ;01   ;     0.930;01   ;04   ;04   ;
02.2010  ;     0.740;26   ;28   ;03   ;     0.840;01   ;     ;01   ;
03.2010  ;     0.670;26   ;31   ;06   ;     0.740;01   ;     ;01   ;
04.2010  ;     0.660;02   ;08   ;07   ;   102.000;30   ;     ;01   ;
05.2010  ;    34.600;31   ;     ;01   ;   234.000;06   ;07   ;02   ;
06.2010  ;     4.540;19   ;     ;01   ;    36.800;24   ;     ;01   ;
07.2010  ;     3.100;16   ;19   ;03   ;    35.500;25   ;     ;01   ;
08.2010  ;    26.900;31   ;     ;01   ;   207.000;16   ;17   ;02   ;
09.2010  ;     2.680;26   ;28   ;03   ;    25.600;01   ;     ;01   ;
10.2010  ;     4.780;15   ;     ;01   ;    18.300;02   ;     ;01   ;
11.2010  ;     1.900;30   ;     ;01   ;     5.100;01   ;     ;01   ;
12.2010  ;     1.480;31   ;     ;01   ;     1.890;01   ;     ;01   ;
01.2011  ;     1.120;30   ;31   ;02   ;     1.460;01   ;     ;01   ;
02.2011  ;     0.940;28   ;     ;01   ;     1.120;01   ;     ;01   ;
03.2011  ;     0.520;31   ;     ;01   ;     0.920;01   ;     ;01   ;
04.2011  ;     0.500;01   ;03   ;03   ;   185.000;15   ;     ;01   ;
05.2011  ;    31.900;31   ;     ;01   ;   131.000;01   ;02   ;02   ;
06.2011  ;    17.100;05   ;06   ;02   ;   139.000;28   ;     ;01   ;
07.2011  ;     5.850;31   ;     ;01   ;    99.000;18   ;     ;01   ;
08.2011  ;     3.580;09   ;10   ;02   ;   116.000;20   ;     ;01   ;
09.2011  ;    10.100;01   ;02   ;02   ;   376.000;12   ;     ;01   ;
10.2011  ;     7.950;25   ;26   ;02   ;    21.000;04   ;     ;01   ;
11.2011  ;     3.760;30   ;     ;01   ;    32.300;06   ;     ;01   ;
12.2011  ;     1.870;31   ;     ;01   ;     3.590;01   ;     ;01   ;
01.2012  ;     1.000;31   ;     ;01   ;     1.820;01   ;     ;01   ;
02.2012  ;     0.850;29   ;     ;01   ;     1.000;01   ;     ;01   ;
03.2012  ;     0.740;20   ;     ;01   ;     0.910;31   ;     ;01   ;
04.2012  ;     0.930;01   ;     ;01   ;    67.600;30   ;     ;01   ;
05.2012  ;    17.500;31   ;     ;01   ;   163.000;11   ;12   ;02   ;
