Дата      ;Толщина;Высота ;Место  ;
          ;льда   ;снега  ;измер. ;
10.01.2009;       ;  1    ;01     ;
20.01.2009;       ;  2    ;01     ;
31.01.2009;       ;  2    ;01     ;
10.02.2009;       ;  2    ;01     ;
20.02.2009;       ;  2    ;01     ;
28.02.2009;       ;  2    ;01     ;
10.03.2009;       ;       ;01     ;
20.03.2009;       ;  2    ;01     ;
31.03.2009;       ;  5    ;01     ;
10.11.2009; 40    ;       ;01     ;
20.11.2009; 47    ;       ;01     ;
30.11.2009; 56    ;       ;01     ;
10.12.2009; 77    ;  2    ;01     ;
20.12.2009;       ;  2    ;01     ;
31.12.2009;       ;  3    ;01     ;
