"time";"max_level";"identifier"
"2020-10-01 00:00:00";799;"05004"
"2020-10-01 00:00:00";203;"05805"
"2020-10-01 00:00:00";704;"05024"
"2020-10-01 00:00:00";521;"05012"
"2020-10-01 00:00:00";363;"06005"
"2020-10-01 00:00:00";386;"06022"
"2020-10-01 00:00:00";500;"06027"
"2020-01-05 00:00:00";74;"05024"
"2020-01-05 00:00:00";316;"05004"
"2020-01-05 00:00:00";68;"06005"
"2020-01-05 00:00:00";62;"06022"
"2020-01-05 00:00:00";56;"05012"
"2020-01-05 00:00:00";75;"05805"
"2020-01-15 00:00:00";48;"05024"
"2020-01-15 00:00:00";79;"05805"
"2020-01-15 00:00:00";39;"06022"
"2020-01-15 00:00:00";284;"05004"
"2020-01-15 00:00:00";64;"06005"
"2020-01-15 00:00:00";14;"05012"
"2019-12-10 00:00:00";52;"05805"
"2019-12-10 00:00:00";125;"06022"
"2019-12-10 00:00:00";69;"05024"
"2019-12-10 00:00:00";101;"06005"
"2019-12-10 00:00:00";63;"05012"
"2019-12-10 00:00:00";335;"05004"
"2020-01-25 00:00:00";68;"05805"
"2020-01-25 00:00:00";24;"06022"
"2020-01-25 00:00:00";259;"05004"
"2020-01-25 00:00:00";1056;"05012"
"2020-01-25 00:00:00";14;"05024"
"2020-01-25 00:00:00";63;"06005"
"2019-12-15 00:00:00";335;"05004"
"2019-12-15 00:00:00";120;"06022"
"2019-12-15 00:00:00";88;"06005"
"2019-12-15 00:00:00";81;"05012"
"2019-12-15 00:00:00";67;"05024"
"2019-12-15 00:00:00";70;"05805"
"2019-12-31 00:00:00";72;"06005"
"2019-12-31 00:00:00";329;"05004"
"2019-12-31 00:00:00";71;"05012"
"2019-12-27 00:00:00";73;"05012"
"2019-12-31 00:00:00";74;"06022"
"2019-12-31 00:00:00";92;"05805"
"2019-12-31 00:00:00";75;"05024"
"2020-01-20 00:00:00";26;"05024"
"2020-01-20 00:00:00";36;"06022"
"2020-01-20 00:00:00";6;"05012"
"2020-01-20 00:00:00";274;"05004"
"2020-01-20 00:00:00";64;"06005"
"2020-02-15 00:00:00";65;"05805"
"2020-02-15 00:00:00";-45;"05024"
"2020-02-15 00:00:00";64;"06005"
"2020-02-15 00:00:00";-39;"05012"
"2020-02-15 00:00:00";225;"05004"
"2020-02-15 00:00:00";4;"06022"
"2019-10-02 00:00:00";641;"05004"
"2019-09-29 00:00:00";249;"06005"
"2019-09-29 00:00:00";240;"05805"
"2019-09-30 00:00:00";411;"06027"
"2019-09-29 00:00:00";696;"05024"
"2019-10-01 00:00:00";428;"05012"
"2019-09-30 00:00:00";438;"05012"
"2019-10-01 00:00:00";670;"05024"
"2019-10-02 00:00:00";237;"05805"
"2019-09-30 00:00:00";244;"05805"
"2019-10-02 00:00:00";658;"05024"
"2019-10-01 00:00:00";408;"06027"
"2019-10-02 00:00:00";233;"06005"
"2019-10-01 00:00:00";239;"06005"
"2019-09-30 00:00:00";224;"06022"
"2019-10-01 00:00:00";655;"05004"
"2019-10-02 00:00:00";408;"06027"
"2019-09-29 00:00:00";685;"05004"
"2019-09-29 00:00:00";232;"06022"
"2019-09-29 00:00:00";419;"06027"
"2019-10-01 00:00:00";216;"06022"
"2019-09-30 00:00:00";673;"05004"
