station_name;station_id;visibility_distance;visibility_distance_quality;wind_direction;wind_direction_quality;wind_speed_avg;wind_speed_avg_quality;wind_speed_sign;wind_speed_max;wind_speed_max_quality;wind_speed_max_sign;precipitation_amount;precipitation_amount_quality;temperature_ground;temperature_ground_quality;temperature_air;temperature_air_quality;humidity;humidity_quality;time
CHEKUND;5093231;99;0;225;0;1;0;;1;0;;0;0;-12.5;0;-7.3;0;100;0;2013-04-17 21:00:00
CHEKUND;5093231;;5;0;0;0;0;;0;0;;;5;-12.6;0;-7.6;0;100;0;2013-04-17 18:00:00
CHEKUND;5093231;;5;0;0;0;0;;0;0;;;5;-9;0;-5.9;0;100;0;2013-04-17 15:00:00
CHEKUND;5093231;;5;0;0;0;0;;0;0;;;5;-7.6;0;-3.1;0;100;0;2013-04-17 12:00:00
CHEKUND;5093231;99;0;315;0;3;0;;3;0;;0;0;-0.5;0;3;0;59;0;2013-04-17 09:00:00
CHEKUND;5093231;99;0;0;0;0;0;;0;0;;;5;0.6;0;6.2;0;39;0;2013-04-17 06:00:00
CHEKUND;5093231;99;0;247;0;1;0;;3;0;;;5;0.1;0;3.6;0;62;0;2013-04-17 03:00:00
CHEKUND;5093231;99;0;0;0;0;0;;0;0;;;5;-2.5;0;-2.3;0;85;0;2013-04-17 00:00:00
CHEKUND;5093231;99;0;225;0;1;0;;1;0;;;5;-6.2;0;-2.8;0;82;0;2013-04-16 21:00:00
CHEKUND;5093231;;5;225;0;5;0;;7;0;;;5;-6.5;0;-1.7;0;73;0;2013-04-16 18:00:00
CHEKUND;5093231;;5;225;0;5;0;;5;0;;;5;-5.2;0;-1.3;0;68;0;2013-04-16 15:00:00
CHEKUND;5093231;;5;90;0;4;0;;5;0;;;5;-3.7;0;-0.1;0;65;0;2013-04-16 12:00:00
CHEKUND;5093231;99;0;0;0;0;0;;0;0;;1.5;0;-2.1;0;0.2;0;96;0;2013-04-16 09:00:00
CHEKUND;5093231;99;0;225;0;3;0;;3;0;;;5;0.1;0;2.2;0;68;0;2013-04-16 06:00:00
CHEKUND;5093231;99;0;202;0;3;0;;4;0;;;5;-0.1;0;1.7;0;72;0;2013-04-16 03:00:00
CHEKUND;5093231;99;0;225;0;1;0;;1;0;;;5;-1.4;0;-1;0;89;0;2013-04-16 00:00:00
CHEKUND;5093231;99;0;0;0;0;0;;0;0;;0;0;-5;0;-3.2;0;100;0;2013-04-15 21:00:00
CHEKUND;5093231;;5;0;0;0;0;;0;0;;;5;-8.6;0;-3.9;0;100;0;2013-04-15 18:00:00
CHEKUND;5093231;;5;0;0;0;0;;0;0;;;5;-1.5;0;-2.5;0;100;0;2013-04-15 15:00:00
CHEKUND;5093231;;5;0;0;0;0;;0;0;;;5;-3.2;0;-1.7;0;92;0;2013-04-15 12:00:00
CHEKUND;5093231;99;0;315;0;5;0;;7;0;;0.3;0;-1.7;0;2.2;0;57;0;2013-04-15 09:00:00
CHEKUND;5093231;99;0;270;0;1;0;;2;0;;;5;-0.4;0;2.1;0;61;0;2013-04-15 06:00:00
CHEKUND;5093231;99;0;337;0;5;0;;7;0;;;5;-0.3;0;2.9;0;46;0;2013-04-15 03:00:00
CHEKUND;5093231;99;0;225;0;1;0;;1;0;;;5;-1.4;0;0.3;0;67;0;2013-04-15 00:00:00
CHEKUND;5093231;99;0;20;0;1;0;;1;0;;1.1;0;-2;0;-0.7;0;100;0;2013-04-14 21:00:00
CHEKUND;5093231;;5;22;0;2;0;;3;0;;;5;-1.5;0;1.1;0;96;0;2013-04-14 18:00:00
CHEKUND;5093231;;5;45;0;3;0;;3;0;;;5;-1.3;0;1.3;0;92;0;2013-04-14 15:00:00
CHEKUND;5093231;;5;45;0;3;0;;5;0;;;5;-1.4;0;1.9;0;85;0;2013-04-14 12:00:00
CHEKUND;5093231;99;0;202;0;1;0;;3;0;;0.8;0;-0.9;0;0.6;0;81;0;2013-04-14 09:00:00
CHEKUND;5093231;94;0;135;0;3;0;;5;0;;;5;-0.1;0;1.2;0;79;0;2013-04-14 06:00:00
CHEKUND;5093231;99;0;225;0;3;0;;4;0;;;5;0.3;0;1.2;0;66;0;2013-04-14 03:00:00
CHEKUND;5093231;94;0;0;0;0;0;;0;0;;;5;-0.5;0;-0.2;0;100;0;2013-04-14 00:00:00
CHEKUND;5093231;99;0;22;0;3;0;;4;0;;;5;-8;0;-4.6;0;93;0;2013-04-13 21:00:00
CHEKUND;5093231;;5;0;0;0;0;;0;0;;;5;-7.8;0;-3.7;0;87;0;2013-04-13 18:00:00
CHEKUND;5093231;;5;0;0;0;0;;0;0;;;5;-1.5;0;0.8;0;69;0;2013-04-13 15:00:00
CHEKUND;5093231;;5;135;0;1;0;;1;0;;;5;-3.2;0;0.3;0;70;0;2013-04-13 12:00:00
CHEKUND;5093231;99;0;90;0;5;0;;5;0;;0;0;-1.5;0;3.3;0;73;0;2013-04-13 09:00:00
CHEKUND;5093231;99;0;135;0;3;0;;5;0;;;5;-1;0;5.1;0;61;0;2013-04-13 06:00:00
CHEKUND;5093231;99;0;180;0;5;0;;5;0;;;5;-0.3;0;6;0;54;0;2013-04-13 03:00:00
CHEKUND;5093231;99;0;315;0;3;0;;3;0;;;5;-0.4;0;2.7;0;70;0;2013-04-13 00:00:00
CHEKUND;5093231;99;0;0;0;0;0;;0;0;;;5;-9.3;0;-7.4;0;90;0;2013-04-12 21:00:00
CHEKUND;5093231;;5;202;0;1;0;;3;0;;;5;-8.8;0;-5.4;0;85;0;2013-04-12 18:00:00
CHEKUND;5093231;;5;0;0;0;0;;0;0;;;5;-4.8;0;-2.5;0;68;0;2013-04-12 15:00:00
CHEKUND;5093231;;5;135;0;1;0;;3;0;;;5;-0.5;0;1.2;0;54;0;2013-04-12 12:00:00
CHEKUND;5093231;99;0;0;0;0;0;;0;0;;;5;-1.8;0;4.9;0;46;0;2013-04-12 09:00:00
CHEKUND;5093231;99;0;0;0;0;0;;0;0;;;5;0.6;0;7.7;0;35;0;2013-04-12 06:00:00
CHEKUND;5093231;99;0;0;0;0;0;;0;0;;;5;0.4;0;6.6;0;39;0;2013-04-12 03:00:00
CHEKUND;5093231;99;0;225;0;1;0;;1;0;;;5;-0.4;0;-0.7;0;58;0;2013-04-12 00:00:00
CHEKUND;5093231;99;0;22;0;1;0;;2;0;;0;0;-8.4;0;-4.4;0;70;0;2013-04-11 21:00:00
CHEKUND;5093231;;5;22;0;2;0;;3;0;;;5;-6.8;0;-3.8;0;78;0;2013-04-11 18:00:00
CHEKUND;5093231;;5;0;0;0;0;;0;0;;;5;-4.3;0;-0.4;0;86;0;2013-04-11 15:00:00
CHEKUND;5093231;;5;22;0;3;0;;3;0;;;5;-2.2;0;1.3;0;72;0;2013-04-11 12:00:00
CHEKUND;5093231;99;0;22;0;1;0;;3;0;;;5;-0.9;0;3.9;0;43;0;2013-04-11 09:00:00
CHEKUND;5093231;99;0;22;0;1;0;;3;0;;;5;0.1;0;4.1;0;44;0;2013-04-11 06:00:00
